@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute birdornot {yes,no}

@data
-32.11156,3.855035,11.02716,-6.604794,-17.34201,22.72813,-19.9464,-5.82268,23.95524,-23.09106,7.275743,6.115479,26.66708,1.263287,-0.106041,0.938732,2.275393,2.515776,1.944107,9.372272,1.777073,3.090573,7.033259,-2.060164,2.30525,0.150782,-0.135022,0.276489,-0.328272,-0.321839,-0.459639,0.969069,0.507299,0.263908,-1.108205,0.329192,1.088216,-1.753992,-0.037219,yes
-34.70873,-4.293931,2.501363,-11.82912,-17.97405,6.523429,-10.52027,-16.88994,24.33615,-0.187708,1.885304,9.552842,26.7535,1.002432,0.433777,0.065476,0.149738,0.690512,3.490815,8.811174,0.470937,-1.117343,4.708999,1.118998,-0.600038,0.072762,-0.317555,0.303037,-0.353604,-0.473188,-0.387592,1.163664,-1.190167,1.10059,-1.743387,-2.077869,1.200411,-2.39038,-0.050431,yes
-33.29868,-0.493031,4.530389,-5.613257,-11.1311,17.76706,-4.48599,-6.801611,24.17931,-4.826417,5.799874,4.02582,26.75472,-0.597147,-0.59451,-1.736894,-2.397255,-0.970228,2.923045,4.152214,2.486829,-2.164973,0.385939,1.352444,-3.840334,0.01798,-0.316007,-0.300996,-0.22912,-0.178076,-0.292878,-0.571876,-1.70829,0.663352,-1.222055,-1.726011,0.51841,-1.092868,-0.037981,yes
-33.2502,0.303836,3.89427,-17.45646,-19.12046,28.31502,2.284987,-4.632928,15.46058,-6.376804,14.52512,-1.751283,26.75521,0.016327,0.221102,-0.505247,-0.044694,1.052034,4.925805,3.451273,5.425799,-3.632781,-2.764472,1.225543,-4.193152,0.000553,-0.301737,-0.923966,0.103953,1.306369,0.010197,-2.315433,-1.223056,-0.1755,-0.745604,1.027438,-0.685288,0.463956,-0.021104,yes
-35.82656,-1.416398,1.646235,-15.7774,-21.61994,26.44755,-5.587956,0.482962,17.56816,-18.06682,7.718055,-7.434129,26.75612,0.176303,-1.504684,0.078495,1.48223,0.870624,-1.632768,3.510773,2.6164,-1.761983,2.139939,0.478614,-1.362534,-0.003019,-0.312218,-1.249454,0.271466,1.765497,-0.468736,-2.512997,-0.878791,-1.570602,-0.599324,3.360779,-1.712956,1.486291,-0.016737,yes
-33.36316,-2.726739,1.417206,-6.97052,-7.469457,26.81221,7.287082,6.596769,9.477812,-7.389868,7.053929,-5.682947,26.75556,-0.892979,-3.730963,-0.322456,4.741838,-0.178932,-5.808442,3.016614,-0.471346,-5.046859,8.969187,-1.870528,0.480842,-0.02226,-0.624062,-1.336874,-0.090475,0.177882,-1.916905,-1.892565,-2.172691,-2.374319,-0.332995,2.225131,-2.002381,1.686836,-0.020879,yes
-32.36069,-6.501163,6.161397,-3.445078,-12.60349,10.35463,10.56683,0.66554,18.36077,6.37981,11.92854,-0.821017,26.73945,-1.703583,-4.865745,-0.470958,4.036965,-2.698424,-4.274818,-0.024413,-2.41761,-4.454556,11.323,-5.6643,1.254123,-0.054299,-0.539387,-0.223957,-0.865053,-1.71182,-1.453658,1.322179,-2.624773,-1.256685,0.385233,-1.842176,-1.665889,1.738061,-0.019593,yes
-39.44803,-15.8086,0.024407,0.086569,-24.52335,7.319279,9.290668,-7.080948,-10.17002,26.24582,3.067233,-2.653627,26.65225,-2.164037,-4.782737,-0.682894,-0.432653,-6.747969,-3.215995,-5.644588,-3.92879,-3.95147,3.769651,-5.714905,2.932698,-0.078201,0.159339,1.353595,-1.234393,-3.120546,0.202384,3.218216,-2.064296,-0.308884,2.649581,-5.226444,-0.170209,2.238943,-0.00638,yes
-41.30204,-19.2042,-0.012157,0.878883,-26.58512,14.81993,-6.711814,-4.766227,5.119301,21.73036,-18.6101,-2.678172,26.53629,-1.885104,-2.098583,-4.066552,-4.489623,-3.113149,3.681902,-5.282492,-1.938306,-0.383511,-4.471175,-5.92864,6.101845,-0.073011,0.719797,2.512705,-0.518249,-2.201005,1.829014,2.16966,-0.771833,0.414425,2.807644,-5.61904,2.316889,0.671512,0.011972,yes
-39.71267,-20.28891,1.089513,-11.29577,-34.21848,8.499582,-12.29654,-10.3313,-3.658803,3.78311,-6.251277,9.909122,26.46614,-0.005525,1.653431,-4.696627,-6.597597,1.040349,6.304278,-4.675826,-2.255416,6.165526,-9.265944,-2.589403,9.251698,-0.044806,0.644359,1.879188,0.803791,0.188553,2.22587,0.440437,1.079292,1.055499,1.671645,-1.87269,2.632123,-2.075356,0.019696,yes
-41.65389,-14.75392,-14.70392,-20.20203,-23.32166,28.17399,-5.052031,-7.400813,13.18761,-4.744713,-13.0554,23.40683,26.46745,0.816147,4.479695,-1.055335,-3.885591,2.552485,1.813344,-4.367959,-1.182174,4.525168,-10.2544,4.357393,1.452185,-0.011135,0.406778,0.516424,2.455975,2.054085,0.421172,-1.786984,1.034637,0.502379,-0.805023,1.294948,2.560173,-3.756142,0.012261,yes
-39.29973,-9.766582,-16.11285,-22.36096,-20.95333,32.16364,-14.91835,-17.04073,16.62345,-6.84637,-12.65713,30.56236,26.46264,-0.292866,1.324064,1.830451,0.208098,1.548562,-0.079532,-0.705395,0.970637,1.952416,-2.70219,2.302694,-5.119254,-0.010661,0.015638,-0.331472,2.429444,2.360191,-0.721189,-1.847819,0.53816,0.18046,-2.512368,1.420348,1.320366,-3.546668,0.004645,yes
