@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data

-43.37094,-25.49654,10.61812,9.696957,7.674141,-8.315183,25.99379,4.974859,6.089315,11.56655,16.23338,10.80325,16.98665,-1.000879,-1.855451,-0.824789,-0.495934,0.846572,-3.080905,-0.766001,0.037198,-3.050005,-3.844221,-2.964087,-0.872552,-0.366845,0.319677,-0.151769,-0.084382,-0.795137,-1.57545,-0.132844,0.151231,-1.354376,0.107221,-0.855878,-1.51639,-0.415189,-0.054667,yes
-45.88089,-29.41981,9.143947,9.904661,2.973688,-12.78274,24.95124,-3.066664,-7.414844,3.651173,9.954517,8.811325,16.78964,0.072083,-1.063285,-0.565868,0.101803,2.196733,-0.538858,-0.520951,-1.514122,-1.007176,-2.317174,-2.385317,-1.605934,-0.443859,0.698613,0.562862,0.15655,-0.290498,-0.91381,1.045277,-0.306296,-0.788103,1.919843,0.965837,-0.907827,-0.605092,-0.135006,yes
-41.17295,-27.08483,7.304423,7.59908,-1.079035,-9.734046,31.5703,1.572072,-0.711634,4.529481,3.467141,14.91562,16.29859,0.544194,-0.707242,-0.841173,-1.062789,-0.253983,1.144332,-0.831059,-0.403066,2.276285,-1.329663,-3.839184,-0.57723,-0.637488,0.632199,0.905439,0.401976,0.358306,-0.087074,1.20647,-0.596694,-0.194657,1.588126,2.159549,0.485527,-0.755427,-0.222402,yes
-41.89754,-29.01137,5.786085,5.503375,9.799489,-2.625621,27.64928,8.419937,8.775661,2.133209,7.337074,9.182264,15.41442,1.320731,0.787816,-0.216883,-0.42849,0.933987,1.824833,-4.183447,-2.048241,4.581914,2.707611,-3.770556,-3.907938,-0.939222,0.902539,1.4675,0.077191,0.547161,-0.741468,0.816611,-0.382224,0.445378,-0.182639,1.683184,0.857317,-0.5097,-0.268258,yes
-42.64164,-29.23697,8.091185,6.583657,2.991325,-7.672083,20.48948,-2.783773,9.375488,5.677217,-1.65382,7.731634,14.48682,1.535789,1.746191,1.010599,1.560742,1.042575,1.7696,-1.918224,-0.669029,2.096081,4.441131,0.156167,-3.498683,-1.231174,1.240971,1.691652,-0.555217,0.545383,-0.374914,1.078785,-0.108235,0.971238,-1.752896,-0.183788,1.465874,0.179224,-0.224606,yes
-38.54288,-24.40466,7.666149,8.269924,5.60844,-4.689557,9.574409,-11.12995,10.45117,16.61536,-6.337782,-7.136373,12.99941,4.088979,5.047501,-1.105797,1.525844,-2.158886,3.231562,-1.888487,0.84575,-1.830269,3.21335,-0.09641,-2.693707,-1.488303,1.079375,1.184812,-1.027761,0.102382,-0.414945,0.976019,0.08762,1.109859,-2.398693,-2.471656,0.988205,1.632865,-0.050358,yes
-35.17133,-20.65723,11.41739,14.01952,6.229362,0.145923,31.01661,8.001869,8.931019,19.49406,11.0854,5.581525,11.35022,5.364925,5.621174,-3.172804,0.686959,-0.582116,5.834892,-2.519714,3.006129,-3.282101,-2.501474,1.653111,-0.288225,-1.485977,0.344738,0.332019,-0.878779,-0.483142,0.134568,0.583049,-0.809513,-0.641897,-1.186078,-2.476554,-0.375655,1.199652,0.19599,yes
-25.1878,-8.063734,-1.405999,9.414666,-2.613961,9.623184,12.94328,7.255867,-0.15345,11.29154,0.485416,-3.211215,9.541207,4.803039,4.774384,-3.263989,0.520313,-0.328395,4.672281,-3.444604,1.663474,-4.72246,-6.179368,0.421997,2.651155,-1.063611,-0.975837,-0.940928,0.4204,-0.351389,0.976564,-0.365559,0.019317,-1.828081,0.545907,-0.477033,-0.333731,0.576482,0.401806,yes
-22.49456,-9.301563,-3.236761,9.446083,4.191947,14.34601,6.206471,3.053965,-1.732707,-4.16824,3.200138,4.327929,8.786036,2.902448,3.542844,-2.3042,-0.352201,0.800171,3.964483,-5.187732,-4.287376,-2.388212,-3.245283,-1.98131,-0.172852,-0.463573,-1.561279,-1.199373,1.16456,-0.178378,0.470999,-1.065944,1.009507,-1.926015,1.449464,2.062291,-0.396061,-0.518097,0.433073,yes
-20.86608,-6.210569,-1.326721,13.15821,4.985172,11.57181,4.756458,-0.338627,-7.829267,-2.45033,-0.285164,6.746202,8.963449,0.44103,1.382024,0.561901,0.288482,2.032792,2.33897,-0.457895,-4.6479,0.452321,1.20009,0.052145,0.131017,0.009525,-1.355054,-1.083473,1.004261,-0.188602,0.10271,-0.866833,1.487737,-0.622749,1.667382,2.475983,0.173477,-0.955116,0.287673,yes
-22.81995,-3.869597,-0.143252,10.38674,6.430648,18.99403,9.17136,-9.637766,0.827869,10.13858,1.56414,-0.261445,9.321233,-0.260466,1.32049,0.737049,-0.089014,0.592288,1.671826,1.034468,-3.46826,1.377829,4.120254,-0.142269,-1.618639,0.142818,-0.66367,-0.799952,0.428319,-0.013837,-0.334404,-0.878349,1.171634,1.136282,0.605553,0.780826,0.428034,-0.118684,0.098918,yes
-35.78673,-3.589966,-9.525551,0.190472,-2.893461,1.230132,-0.024626,2.11697,1.341864,2.807979,2.788224,3.603492,21.24702,-1.072722,-3.678457,1.407935,-0.419579,2.191119,-0.390559,0.833183,1.487742,1.019324,1.909146,2.498406,0.087579,-1.547923,-0.340387,-0.086446,-0.688487,0.397632,-0.837351,-0.294379,-0.570998,0.126473,0.396544,0.53351,-1.969585,-1.660726,0.097659,yes
-38.73742,-12.09823,-0.985782,1.384634,6.382176,-1.012543,3.827432,5.316625,10.85135,8.464069,15.52819,5.030876,15.99453,-1.951124,-4.503802,0.529766,0.133318,1.143125,-0.597545,0.138682,3.064864,1.875943,3.449146,-1.108069,-3.008342,-1.564526,-0.057357,0.637755,-1.079335,0.923049,-1.490786,-0.78442,-1.018738,-0.590053,-0.295045,-0.363987,-2.546167,-1.363887,0.367439,yes
-39.675,-17.72812,-6.755758,-2.504502,3.424314,0.398677,2.215258,7.955853,1.683742,9.525661,8.910271,3.327696,16.13366,-2.335454,-3.698016,-1.595414,1.292131,-1.471641,-1.75896,-1.674556,1.331547,2.573733,3.806693,-5.546283,-6.668092,-1.051329,0.385967,1.300738,-0.766652,1.121347,-1.39473,-1.54349,-1.103122,-1.527782,-1.654026,-1.822006,-1.284115,0.174596,0.4858,yes
-43.59822,-19.0399,-8.261616,2.204551,-0.336723,-1.341866,-0.45116,14.52185,10.55064,16.69487,-5.813145,-11.30032,15.98108,-0.728141,-0.479904,-2.487067,3.339809,-3.431433,-3.628457,-3.006639,-1.384424,-1.233104,-0.859561,-6.210082,-3.354018,0.040974,0.866088,1.453349,-0.089556,0.385352,-0.608539,-1.633757,-0.70021,-2.106154,-3.04724,-2.89054,1.090018,2.327946,0.462415,yes
-45.0336,-18.60921,-13.8647,6.24117,-6.892215,-7.400004,-6.258113,4.172091,14.36088,17.72605,-14.27252,-21.57137,15.9971,0.245622,0.813283,-0.916905,3.583912,-2.495253,-6.592555,-3.109769,-3.926524,-5.696281,-5.046532,-1.371165,1.133395,0.078325,0.717015,0.799616,0.600342,-1.007953,0.427154,-0.324607,0.226657,-1.20058,-2.47699,-2.349252,2.274796,2.834492,0.262865,yes
-39.69883,-14.0572,-9.866646,13.71084,-5.616723,-15.25549,-6.969077,0.286388,-1.652743,0.06607,-3.930824,0.710321,16.26767,1.088776,0.507295,-0.25727,0.91419,-1.387764,-6.349533,-2.644761,-4.83687,-9.22525,-6.576941,2.254459,4.730643,0.182721,0.091307,-0.145282,0.358095,-1.956899,1.184077,1.99975,0.803678,-0.000304,0.892531,0.183876,1.349061,0.914773,0.01579,yes
-40.39658,-16.15305,-10.53777,9.661914,-6.411949,-25.60728,-10.07463,-4.559033,-20.69597,-7.392598,1.113288,2.989348,16.38198,0.341165,-0.193537,0.291397,-2.534827,-0.357704,-2.021455,-0.722212,-2.94513,-5.815143,-5.080878,1.595429,3.462037,0.192124,-0.282358,-0.287717,-0.066913,-1.225328,1.069652,3.646469,1.198319,1.268251,4.280167,2.371647,-0.586331,-1.167893,-0.04329,yes
-40.47285,-17.73151,-11.21143,5.065129,-7.515676,-23.98589,-11.7667,-5.296937,-18.04719,-3.630515,-2.233755,0.072532,16.70225,-0.31938,-0.702901,-1.300744,-3.385318,1.420176,4.084741,-0.18203,-1.876638,3.28898,0.076993,-0.948073,0.055527,0.063025,-0.206684,0.104475,-0.005297,0.5559,0.66632,2.528077,0.96106,1.68449,4.077644,2.567137,-0.843908,-1.426159,-0.093582,yes
-42.94076,-17.73974,-11.73532,-2.110107,-7.73126,-13.14208,-7.47036,-7.761899,-6.517606,-5.830051,-7.143913,-3.942295,16.74043,-0.462089,-0.020202,-0.729734,-0.392973,1.449036,6.422653,1.650462,0.934615,9.447435,3.484737,-2.701553,-2.368513,-0.078278,0.107649,0.359777,0.132815,1.643146,0.114129,-0.28528,0.114845,0.930724,0.287211,1.377512,0.302953,-0.734082,-0.085824,yes
-40.02364,-16.77836,-15.77159,2.67026,2.143815,-1.064387,-9.18136,-7.495371,7.702976,-0.330238,-4.542588,4.453777,16.40357,0.456986,0.943005,0.226812,2.622762,1.040463,2.068795,0.974203,1.645706,3.53168,1.97594,0.18341,0.515122,-0.149989,0.158022,0.37934,0.536281,1.240254,-0.553983,-2.10918,-0.214671,0.466869,-3.078071,-0.530625,0.93343,-0.397463,-0.025497,yes
-42.93164,-16.73063,-11.90637,8.894483,-3.996512,-4.954771,-3.11499,1.213256,13.66613,8.380947,-11.24006,-11.04384,16.13993,0.491225,0.782394,0.191696,2.676861,0.402795,-2.439882,-0.726105,-0.052683,-4.500438,0.85721,2.544451,-0.438173,-0.130487,0.162231,0.061571,0.294282,-0.112018,-0.470638,-2.1686,-0.680216,-0.362503,-3.784754,-1.355997,1.026651,0.373803,0.048019,yes
-38.19249,-13.52104,-9.991856,12.67665,-4.180735,-17.73557,-9.073373,-1.555985,-10.48065,-0.856316,0.731367,6.198915,16.25255,-0.005927,0.792503,0.919946,1.281033,-0.826618,-2.029891,-0.067099,0.951353,-5.127438,-1.26237,1.096076,-2.896956,-0.038357,-0.225128,-0.39843,-0.035204,-1.36922,-0.4364,-0.376257,-0.199172,-0.501008,-0.598535,-0.828968,-0.426098,-0.148946,0.092883,yes
