@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric

@data

-1.411730e+01,1.378956e+00,-7.479745e+00,-3.842402e+00,-1.049376e+01,-6.931614e+00,2.049443e+00,1.895581e+01,1.453675e+01,-4.525567e+00,-1.053680e+01,-9.098859e+00,2.613063e+01,-2.153614e+00,-3.151559e+00,-4.864023e+00,-1.397049e+00,-1.328522e+00,2.168683e+00,-1.080629e+00,1.750063e+00,-4.360307e+00,-4.192662e+00,-2.857332e+00,-1.508685e+00,-6.428184e-02,-8.799340e-01,-1.022336e+00,-1.351632e-01,-6.076377e-01,1.838309e+00,1.064146e+00,-5.018901e-01,-2.506746e+00,-1.323553e+00,7.876605e-01,1.660717e+00,9.612042e-01,-2.655769e-02
-1.559892e+01,-8.894873e+00,-8.002009e+00,-6.841072e+00,-9.705606e+00,4.972457e+00,1.728634e+00,1.451799e+01,7.755688e+00,2.285272e+00,-1.153360e+01,-3.095208e+00,2.600917e+01,-3.362989e+00,-4.228462e+00,-2.526163e+00,-2.067474e+00,2.300441e+00,-1.158423e-02,-2.571779e+00,-2.462988e-01,-3.221562e+00,-1.951315e+00,-2.671370e+00,-2.135339e+00,-8.854427e-02,1.477589e-01,5.127119e-01,1.083499e+00,1.079850e+00,2.632513e+00,2.522603e-02,-6.209193e-02,-2.027867e+00,-4.198341e-02,1.393588e+00,1.963623e+00,5.394518e-01,3.246021e-03
-2.524840e+01,-1.594862e+01,-8.337970e+00,-6.394771e+00,-6.651444e-01,-1.636317e-01,-3.953710e-01,1.592228e+00,-1.658185e+01,-1.589111e+01,-6.423703e+00,-3.565466e+00,2.585904e+01,-1.170511e+00,-2.456135e+00,8.108671e-01,1.597565e+00,5.031503e+00,1.980312e+00,-1.257875e+00,-4.658644e+00,-1.304400e+00,9.397200e-01,1.122106e+00,2.106658e+00,-5.253620e-02,1.325607e+00,1.354320e+00,1.540167e+00,1.738350e+00,1.154339e+00,-2.166326e-01,3.660401e-01,-5.629924e-01,1.629077e+00,1.402266e+00,1.568761e+00,3.095376e-01,2.935417e-02
-2.413083e+01,-1.372178e+01,-9.523292e+00,-1.462236e+00,5.278314e+00,-8.982339e+00,-2.773422e+00,5.446486e+00,4.101329e+00,-3.071128e+00,-1.775251e+01,-1.157965e+01,2.587462e+01,6.776684e-01,4.859394e-01,6.007420e-01,4.066791e+00,6.503436e+00,7.292014e-01,4.097926e-01,-2.536351e+00,-9.439148e-01,1.225561e+00,2.371399e+00,2.362776e-02,1.021099e-02,1.170593e+00,1.577651e+00,7.427591e-01,5.667055e-01,-1.041123e+00,-5.471183e-01,7.473357e-01,5.785797e-01,4.506427e-01,5.630029e-01,1.202214e+00,-2.713113e-02,2.737473e-02
-1.570391e+01,-8.488267e+00,-2.664768e+00,1.456007e+00,7.171791e+00,9.947344e+00,-1.988902e+00,1.983386e-01,9.841929e+00,2.851233e+00,-1.816815e+00,5.676651e+00,2.593522e+01,2.454091e+00,1.262838e+00,1.273359e+00,4.227567e+00,2.341678e+00,7.151277e-01,-7.412139e-01,8.012726e-02,2.646253e+00,1.230232e+00,2.465091e+00,-1.040480e+00,3.311138e-02,-2.425293e-02,6.946939e-01,-6.811288e-01,-1.612260e+00,-2.410674e+00,-1.545589e+00,2.674978e-01,1.372874e+00,-8.539599e-01,-2.950555e-01,6.437509e-02,-4.078649e-01,5.235672e-03
-1.698283e+01,-1.019535e+01,-7.834900e+00,9.567493e+00,1.889310e+01,3.562977e+00,4.574362e+00,2.533180e+00,-1.017577e+01,-9.580940e-01,-1.980049e+00,-7.598128e+00,2.602213e+01,6.776726e-01,1.800306e+00,9.563863e-01,-5.489472e-01,-1.560262e+00,-2.114584e+00,9.065695e-01,2.772141e-01,-2.943675e+00,7.184432e-01,2.668211e+00,-6.974252e-01,5.505562e-03,-4.214147e-01,7.783149e-02,-8.753077e-01,-2.596837e+00,-2.442961e+00,-6.506493e-01,1.541816e-02,7.823946e-01,-6.336870e-01,-1.255715e-01,-3.998198e-01,8.179501e-01,-1.477365e-02
-1.655195e+01,-1.139764e+01,-2.815372e+00,9.228198e+00,4.235849e+00,-2.860651e+00,-7.775333e+00,3.449517e+00,3.787968e+00,-1.079647e+01,-1.984480e+00,-1.075863e+01,2.595084e+01,-1.291778e+00,3.601512e-01,-2.772599e+00,-4.155868e+00,-2.990020e+00,-4.325741e+00,-1.687740e-01,7.989418e-01,-4.574319e+00,-2.819985e-01,1.295576e+00,4.278599e-01,-2.400513e-02,-4.228038e-01,-1.126748e-01,-1.057044e+00,-1.652211e+00,-5.644637e-01,7.285891e-01,4.390442e-01,2.417207e-01,-5.238630e-01,-1.706009e-01,-5.675219e-01,1.154661e+00,-1.525560e-02
-2.031844e+01,-3.265564e+00,-4.666058e+00,-8.093067e+00,-1.055024e+00,-1.315126e+01,4.652640e+00,5.206967e+00,-7.590063e+00,7.344941e+00,-4.327624e+00,-6.849137e+00,2.589434e+01,4.435291e-01,1.326440e+00,-1.752818e+00,-4.725676e+00,-3.045523e+00,-3.610802e-03,2.006634e-01,1.016215e+00,-5.020636e-01,1.353819e+00,9.570578e-01,3.379208e+00,-3.509903e-02,5.571079e-03,-3.994014e-01,-1.385283e-01,4.454403e-01,9.324442e-01,2.183882e+00,-3.280201e-01,1.598886e-02,6.992111e-01,-6.774786e-01,-7.412771e-01,3.139968e-01,-5.656605e-03
-2.049499e+01,-1.015240e+01,-1.811218e+01,-1.049305e+01,2.195756e+00,-3.324242e+00,-2.871911e+00,2.856154e+00,-1.432252e+01,-2.710276e+00,5.834852e+00,7.441455e+00,2.587909e+01,4.571432e-01,9.363972e-01,-2.657260e+00,-1.945122e+00,2.619902e-01,3.302587e+00,1.806960e+00,9.192305e-01,-1.193868e+00,5.953922e-02,4.830573e-01,2.694508e+00,-2.286434e-02,-2.754633e-01,-4.008985e-01,1.430476e+00,1.591053e+00,1.075303e+00,1.108263e+00,-4.446650e-01,-6.432700e-01,2.995403e-01,-6.941855e-01,-7.824265e-01,-1.297562e+00,-7.958108e-03
-1.279366e+01,-4.185766e+00,-8.950583e+00,-4.200260e+00,4.685537e+00,3.776719e+00,3.125969e+00,7.910935e+00,-3.630845e+00,1.767904e+00,-1.104426e+00,1.978711e-01,2.588251e+01,-1.689327e-01,-4.848240e-01,2.060753e-01,5.728814e-01,1.475954e+00,4.990663e+00,-1.721398e+00,2.970141e-01,-1.137845e+00,-2.839719e+00,-6.319150e-01,-2.607656e-01,-2.334785e-02,-1.012234e+00,-8.117711e-01,1.422885e+00,1.748554e+00,7.415010e-01,-8.429579e-01,-6.261589e-01,-1.113953e+00,2.027179e-01,-6.489740e-01,-3.077649e-01,-1.862183e+00,-8.218938e-03
-1.802862e+01,-6.255553e+00,-1.395941e+01,-2.443813e+00,2.675519e+00,5.188293e+00,2.022804e+00,6.693685e+00,-4.160979e+00,-7.710258e+00,-1.180793e+00,-8.095900e-01,2.584243e+01,-2.362864e+00,-7.387094e-01,3.400335e+00,1.150119e+00,1.257586e-01,-1.281563e+00,-1.431068e+00,-2.057808e+00,-2.758728e+00,-1.656157e+00,-1.822070e+00,-4.239963e+00,-6.967125e-02,-6.043827e-01,-6.094686e-01,9.917173e-01,8.563991e-01,1.345737e-01,-1.211830e+00,-3.862287e-02,-6.602920e-01,2.123983e+00,4.483760e-01,3.131886e-01,-3.339600e-01,5.665264e-03
-2.239629e+01,-7.638109e+00,-5.712069e+00,-9.253280e+00,6.084866e+00,7.545786e+00,-6.401708e+00,4.773272e+00,-1.836006e+01,-4.353662e+00,-3.979377e+00,-4.027442e+00,2.579593e+01,-3.207639e+00,-1.894862e+00,2.332809e+00,2.469471e+00,7.300978e-01,-1.926326e+00,-1.311117e+00,-3.065031e+00,1.293956e+00,-1.033203e+00,5.707973e-01,-2.464469e+00,-5.279026e-02,5.193512e-01,1.771913e-02,-5.183669e-01,-1.692584e-02,-5.456580e-01,-5.131806e-01,9.593704e-01,3.779435e-01,2.834465e+00,1.045985e+00,5.917805e-01,1.435754e+00,3.160259e-02
-2.750800e+01,-1.211978e+01,-2.729767e+00,-2.215948e+00,2.124885e+00,-1.161659e+01,-5.263415e+00,-5.864053e+00,-2.075155e+01,-7.930278e+00,-1.838024e+00,-1.164570e+01,2.557403e+01,-1.045417e+00,-1.405927e+00,1.237960e+00,1.388579e+00,1.307787e+00,7.019300e-01,1.408705e+00,-7.012077e-01,8.210145e+00,1.398161e+00,1.447644e+00,2.126560e+00,2.018318e-02,1.616565e+00,7.073471e-01,-1.329016e+00,-5.379300e-01,-5.500048e-01,1.060896e+00,6.809396e-01,1.277450e+00,1.712144e+00,4.959917e-01,4.406756e-03,2.072701e+00,4.887051e-02
-2.409217e+01,-1.072796e+01,-2.901361e+00,8.033165e+00,8.611343e+00,2.547532e+00,2.134946e-01,-1.135349e+00,1.113422e+01,-3.288098e+00,2.078177e+00,-6.706419e+00,2.575277e+01,1.769100e+00,-6.261959e-02,-1.304572e+00,3.690223e-01,-1.843350e+00,1.433014e+00,1.655567e+00,1.508432e+00,7.550044e+00,8.630482e-01,6.921306e-01,3.734745e+00,8.973789e-02,1.493557e+00,1.167144e+00,-7.657438e-01,-6.269082e-01,-6.592941e-01,2.345238e-02,4.790592e-03,4.659266e-01,-1.879785e+00,-8.897340e-02,-1.037319e+00,5.391991e-01,2.270763e-02
-2.240777e+01,-1.174026e+01,-9.174963e+00,-4.144142e+00,7.951216e+00,1.119707e+01,5.758729e+00,6.141957e+00,2.214260e+01,-1.252234e+00,3.028650e+00,1.116270e+01,2.596493e+01,3.231593e+00,1.881905e+00,-1.426057e+00,-4.893068e-01,-1.337541e+00,2.343249e+00,4.902879e-01,2.042710e+00,2.673947e+00,-1.243241e-01,-1.860703e+00,3.023932e+00,1.034172e-01,4.790723e-01,1.040104e+00,1.058633e-01,4.073074e-01,-2.348988e-01,-1.423120e+00,-6.160836e-01,-1.293338e+00,-3.830321e+00,-5.078899e-01,-9.300205e-01,-1.345347e+00,-1.822189e-02
-1.610090e+01,-8.140966e+00,-9.012329e+00,-6.444071e+00,-6.045050e+00,3.304023e+00,-3.634946e+00,6.312425e+00,-2.056914e+00,-3.377444e+00,-2.952061e+00,3.242083e+00,2.604917e+01,2.121640e+00,2.296941e+00,-1.639019e-01,2.738732e-01,-1.243708e+00,-2.629723e+00,-8.279552e-01,-2.107356e+00,-5.336869e+00,-7.168269e-01,-2.961624e+00,-2.171602e-01,1.913090e-02,-8.789660e-01,2.925460e-02,5.445119e-01,7.334758e-01,5.782738e-01,-1.228336e+00,-2.347106e-02,-1.955871e+00,-2.311665e+00,-3.421136e-02,-1.358055e-01,-1.497195e+00,-4.237301e-02
-1.534566e+01,-4.003754e+00,-6.804567e+00,2.576136e+00,2.765376e+00,-2.785922e-01,-8.877553e-01,6.256113e-01,-7.862532e-01,-8.507226e+00,-8.626422e+00,-1.500290e+00,2.594291e+01,1.173674e+00,2.614813e+00,1.196942e+00,3.472691e+00,-1.665276e-01,-4.382301e+00,-4.299518e-01,-5.360005e+00,-4.498002e+00,-3.513508e-01,-1.375581e+00,-2.624223e+00,-3.562279e-02,-1.493478e+00,-1.273502e+00,-7.373282e-02,-1.842573e-01,9.056141e-02,-3.305653e-01,1.386441e-01,-1.196988e+00,-4.676531e-01,4.523647e-02,5.514058e-01,-1.108327e+00,-3.479503e-02
-1.701503e+01,-3.111509e+00,-4.906068e+00,6.042392e+00,4.985721e+00,-4.863251e+00,-6.030399e-01,-8.913958e+00,-4.085694e+00,-3.244737e+00,-6.902408e+00,-1.460727e+00,2.585943e+01,-1.596770e+00,-2.828009e-01,1.064887e-01,2.055403e+00,4.625121e-01,-1.345894e+00,1.998331e+00,-4.569568e+00,-4.223050e-01,8.055048e-01,-2.294582e-01,-9.271511e-01,-5.260716e-02,-1.259413e+00,-1.640839e+00,-5.209922e-01,-1.432624e+00,-1.994861e-01,1.702138e+00,3.573551e-01,9.071970e-01,7.531729e-01,-2.160763e-01,7.663262e-01,-2.681656e-01,-7.875748e-03
