@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute gunornot {yes,no}

@data
-23.47298,-9.496129,-9.172181,-4.679815,0.428937,-16.12873,-17.63571,-0.625349,-6.024433,7.535995,-8.259613,-6.707979,25.86394,2.004879,2.286533,-0.39457,-1.219625,3.657875,2.790643,1.961361,2.580884,3.575115,0.476872,1.549298,2.545279,0.065009,-0.640586,0.281274,0.494958,1.310988,-0.697291,-0.03108,-0.052017,-3.003023,-0.675537,-1.628704,0.674416,1.664096,0.003429,yes
-21.44165,-8.277041,-1.19373,-7.734401,0.825955,-18.47058,-19.44291,2.887134,4.166034,1.310739,4.303749,-1.652699,25.95535,0.110149,0.429991,0.183402,1.397247,0.116025,-0.709767,-1.273219,-4.77416,0.9214,-1.057082,1.139132,2.458597,0.050691,-0.935848,-0.298621,0.152918,1.240972,-1.026276,0.06136,0.032264,-1.925541,-1.77523,-1.53767,-0.395063,0.527319,-0.017207,yes
-21.57478,-0.804064,-4.47493,-4.240119,3.448187,-9.724537,-12.94781,-2.798625,1.636808,-16.42591,-7.75356,-3.622443,25.93556,-1.033318,0.079654,-0.828468,0.865145,-1.516097,2.1811,-1.314423,-4.862669,-4.193851,-7.599191,1.224603,2.877403,0.014027,-0.743875,-0.71419,0.109114,0.568637,-0.873855,-0.176087,0.042901,0.020092,-1.840217,0.182882,-0.22336,-0.311837,-0.0236,yes
-26.81306,-9.984887,-7.729072,-6.591549,-10.06308,-17.30059,-31.59051,-32.57512,-20.68786,-15.92456,-5.502538,0.131864,25.95171,-0.835119,-0.049727,-0.779515,1.295512,-0.752169,2.485856,0.702776,-1.381424,-4.791392,-1.598935,-0.775405,1.404302,-0.012576,0.029796,-0.232395,0.191588,-0.083765,0.143277,-0.057814,1.296514,2.089175,0.441512,2.049592,-0.459195,-1.100992,-0.017206,yes
-25.95387,-8.243937,-10.04685,-0.925515,-1.707032,-5.808234,-18.13403,-7.207569,-14.56674,-21.84231,2.766546,6.786752,25.9359,-1.241862,-1.044557,0.632456,1.674428,-0.277302,0.312398,1.187869,0.984976,-2.769572,1.662206,1.389765,1.513242,-0.021357,0.527595,-0.204685,0.175309,-0.499456,-0.175062,-1.394566,0.927904,0.900244,1.841076,3.251915,-0.417776,-1.726815,-0.004877,yes
-23.4277,-4.80574,-2.305347,-2.914145,-0.35728,-7.999455,-13.33592,-1.815515,-11.68915,-3.975736,-4.833328,0.164213,25.89231,0.3634,-0.169875,0.410879,0.573779,0.21301,-0.064486,3.958207,2.747893,2.416821,4.560176,-1.239423,-2.364281,-0.017649,0.608765,-0.183056,-0.187623,-0.856007,-0.692605,-1.31756,-0.173395,-0.509444,1.240416,0.828307,-0.296403,-1.259897,0.004454,yes
-29.47677,-8.616422,-4.024512,2.293321,-2.791223,-12.81311,-16.13576,-13.25355,-16.7104,-14.08929,-1.13934,3.927595,25.85847,1.005396,-0.883696,-0.547119,-1.271269,-2.873995,-3.516561,1.697382,-2.426106,1.407419,5.580828,-0.63227,-3.872382,-0.00782,0.551336,-0.027091,-0.125141,-0.747117,-0.945414,-0.390116,-0.393351,0.000225,0.491137,-0.498476,-0.422367,0.227213,0.007486,yes
-23.23461,-10.64802,-8.685847,-5.332071,-8.455935,-14.12058,-12.79861,-15.81266,-7.531922,2.999813,-9.746711,-10.25996,25.90218,1.085076,-1.045438,-1.127843,-1.511674,-2.916848,-2.187465,-0.418954,-2.223105,-0.67781,0.583287,-1.246405,-2.202369,0.002928,-0.242173,0.023261,0.51749,-0.01771,-0.504047,0.675776,-0.015555,1.181418,-0.254509,-1.978335,-0.064388,1.817118,0.006929,yes
-21.02344,-9.741277,-9.592194,-6.072895,-12.02768,-20.33048,-9.915768,-12.33952,-9.608261,2.574054,2.061888,-7.363071,25.89186,1.15398,-0.742232,0.776112,-1.018432,-3.439441,-0.576694,1.409692,3.471598,1.233428,1.158272,-0.718577,2.568349,0.005787,-0.62328,0.152402,0.546802,0.507833,0.745967,1.471691,0.702853,1.596904,-0.206475,-1.714207,0.316686,1.95449,0.005901,yes
-22.22898,-9.470503,-5.160721,-6.289404,-10.32329,-15.1781,-18.54069,-13.38806,-18.62927,-9.390974,-12.66597,-5.202299,25.89025,-0.921758,-0.124304,2.336712,0.358813,-2.024502,1.844458,4.024279,5.70613,1.231274,-3.120224,-1.51821,3.500945,0.010192,-0.674463,-0.129372,-0.137732,0.6404,1.40984,0.840321,0.625219,0.224321,0.054896,-0.001131,1.08315,0.106475,0.004066,yes
