@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-15.13246,0.534619,-4.02907,3.146053,-8.230998,-3.880963,-1.53931,2.566309,-0.033129,-8.143558,-12.49397,-7.724527,26.28473,2.208405,-1.94459,-1.36494,0.300238,2.887367,1.958807,6.760947,3.098258,0.291947,-2.640285,-0.937416,-0.312519,0.009426,-0.234904,0.10377,0.295169,-0.53153,0.90673,1.012794,0.73338,-0.434641,0.750811,0.785846,1.695289,0.732782,-0.003542,yes
-9.931212,-3.459167,-7.154059,-1.801304,-5.19724,-1.024264,10.44792,1.204948,-2.162487,-4.556155,1.547043,-8.48704,26.29832,1.657469,-0.158941,-0.247749,-1.642682,4.343956,2.96082,4.714301,-1.162242,-0.33938,-2.126096,0.403968,-0.05643,0.005174,-0.700368,0.764231,0.913094,0.32643,-0.43256,-0.134708,-1.88227,-1.273132,0.30325,0.696095,0.699755,0.394056,-0.004199,yes
-11.24142,-2.111011,-4.976235,-3.172384,4.586446,1.604476,14.1185,1.49204,-2.675445,1.037654,3.534398,-2.876433,26.30737,0.708624,0.172348,0.195337,-1.97852,0.86968,-0.472601,-0.759948,-1.442469,-1.071171,1.989914,3.851675,0.568333,0.00297,-0.512074,0.594114,0.641001,0.77588,-1.621819,-0.74692,-2.931632,-1.018493,-0.093468,0.11762,-0.338762,0.066055,-0.004384,yes
-13.19639,-0.607219,-4.822646,-10.64245,6.304132,-3.143584,4.522447,-6.509582,-10.26098,-11.06545,-10.24237,-9.562357,26.30376,-0.276816,1.079237,1.407034,1.767524,-1.52562,-0.303065,-3.429566,-2.162143,0.059839,-1.445874,-0.881347,0.180197,-0.00226,-0.244225,0.064176,0.278359,1.377969,-1.463349,-0.397487,-1.563848,-0.05799,0.062029,-0.439252,-0.910386,0.198853,-0.003915,yes
-9.956747,-0.029616,-4.218094,-2.325974,-9.633286,-5.184307,-2.376316,-0.788772,-1.339737,5.060656,12.65911,-4.345203,26.29686,0.61518,0.406891,1.012672,2.474532,-2.286941,-0.14385,-3.82528,-1.494255,-0.375001,-2.392295,-1.988567,-0.100555,-0.008775,-0.115145,-0.331638,-0.316828,0.554148,0.403748,0.193756,0.342391,0.321326,-0.160345,-1.115453,-1.664189,0.280143,-0.000898,yes
-11.95763,0.896319,-0.49796,6.613111,-5.715474,0.854804,1.547495,-8.465364,-2.531146,-13.79703,-7.422046,-6.851672,26.29227,0.483065,0.044669,0.735376,3.020634,-1.394478,0.809012,-1.572276,-1.426299,-0.377321,-2.131251,-1.227839,1.272279,-0.008528,-0.037267,-0.613352,-0.704054,-0.792467,1.686716,-0.050298,0.881441,1.301026,-0.009816,0.507807,0.394601,0.589372,0.003253,yes
-8.784904,-0.828326,-2.075216,0.572497,-0.838458,-1.11397,-3.520428,-5.001345,-8.415367,-9.55803,-7.818602,-4.73455,26.26924,-0.247042,-0.96856,-1.052975,0.165667,2.822851,-0.05986,0.023362,-0.20376,-1.654316,-3.244666,-4.296026,1.423006,0.001613,-0.284786,-0.465517,-0.391952,-0.764239,1.705211,-0.083585,0.923345,1.421116,0.791651,1.192633,1.471852,0.200315,0.00596,yes
-11.36699,0.015482,-2.217205,3.011485,-5.065675,-1.133692,-2.766876,-11.53479,-8.60977,-14.41236,-6.142713,-3.00629,26.27493,-0.03204,-1.299797,-1.080413,-1.040376,4.353062,-0.596551,-0.946684,3.69774,0.650418,1.519348,2.245389,2.365274,0.008812,-0.023692,-0.103855,0.068033,-0.405186,0.58636,-0.118821,0.462771,0.872515,0.978881,1.473915,1.575393,-0.253984,0.004525,yes
-11.48728,-4.431998,-8.623347,0.303174,4.156068,-4.489361,-0.102318,-0.272857,-6.572005,-10.85501,-9.460688,0.847134,26.3136,-0.551198,-1.248459,-0.039194,0.68384,3.365344,0.141006,0.478647,3.049305,3.069386,1.74557,3.634077,0.354521,0.012355,0.232457,0.458972,0.60796,0.183672,-1.294215,0.21863,-0.077885,-1.008527,0.215758,0.706043,1.017009,-0.220994,0.000002,yes
-10.76664,-3.800829,-2.625959,1.545894,13.55257,-0.440253,-4.894981,7.659091,-0.200735,-5.5518,4.625944,2.183859,26.31415,0.516685,-0.334654,0.568652,0.735616,1.266073,0.114475,0.513938,1.309743,2.155232,2.743204,2.684074,0.5366,0.008725,0.265624,0.632434,0.228233,-0.161043,-2.110575,0.354011,-0.031231,-2.279963,-0.800278,-0.753976,-1.351358,-0.399371,-0.003204,yes
