@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute laughornot {yes,no}

@data
-25.84101,-14.91698,-10.64531,-7.656116,-5.954129,-11.79321,-2.946278,1.950793,-13.02223,-28.51444,-21.17993,-2.248803,26.77131,-1.706946,-1.979206,-2.620895,-0.591256,1.876182,4.780368,3.892295,1.007609,-1.381285,-0.064163,0.551358,2.07979,-0.038373,1.087602,0.939123,0.009489,-0.979819,-1.31,0.399679,-1.68149,-2.672158,-0.215033,1.519805,0.9086,0.398406,-0.01089,yes
-28.69586,-21.33042,-17.53492,-2.691391,2.062329,2.961792,-1.280002,-0.332889,-9.135931,-11.82323,-12.93773,-12.31198,26.7242,0.338802,0.33287,-1.439537,-2.487163,0.307919,2.746209,-1.157711,-2.80125,-0.956161,0.95047,-1.926566,3.305449,-0.047902,1.311149,1.203619,0.674632,-1.016348,-2.190318,-1.639061,-1.367288,-1.268929,0.568601,0.962569,0.718784,0.203205,0.000241,yes
-25.70338,-18.30952,-19.98273,-14.06233,-4.47818,6.97295,4.512873,4.217521,-6.157027,-6.243927,-6.236854,1.008794,26.71151,1.150573,0.557177,-0.228961,-2.778678,-3.499834,0.40308,-0.694973,-2.900638,0.799793,2.946276,3.390697,4.125853,-0.036808,0.803984,0.900028,0.994358,0.034025,-1.887449,-2.751336,-0.801377,0.478708,1.087295,0.262772,-0.098341,-1.018023,0.009176,yes
-23.77669,-14.28744,-15.17536,-14.80303,-2.428813,1.123237,-7.193388,-10.03515,-8.751894,-13.89125,-14.34339,10.9102,26.62676,1.991043,1.980007,1.218217,-2.226322,-5.976021,-5.093462,-0.14771,-0.088967,2.164745,1.684655,1.503886,1.894519,-0.017109,-0.050684,0.102144,0.505573,0.708168,-0.819048,-1.822042,0.839823,2.423161,1.561328,0.882798,0.141023,-1.978676,0.011135,yes
-22.54773,-15.65259,-12.96989,-15.49369,-21.20773,-8.858535,-3.46445,-7.701267,-9.215288,-12.74905,-3.523613,6.76937,26.63598,1.486854,1.697367,1.022017,-0.551552,-4.41909,-5.056478,-0.619588,2.045005,2.494737,0.882603,-1.655573,-2.304862,-0.007892,-0.603474,-0.215285,-0.06468,0.619731,1.143001,-0.123168,0.435299,2.052715,0.878333,0.840689,-0.474484,-1.942149,0.005185,yes
-20.31847,-12.75885,-14.95026,-13.10732,-19.453,-14.58977,1.970107,5.181669,3.216924,-0.147397,-6.77492,-5.719673,26.67642,-0.082757,0.273494,0.462841,-0.059887,-3.327691,-3.634222,3.003711,6.841731,6.003005,6.396297,1.301685,-3.372574,-0.006684,-0.796362,-0.612499,-0.220346,0.375074,1.73132,1.34651,-0.387528,-0.259096,-0.560665,0.411587,0.478421,-0.546619,0.001154,yes
-19.99822,-10.58698,-14.9852,-17.66794,-18.06153,-10.45293,-3.166814,6.834139,0.332248,-8.70284,-18.29896,-2.200581,26.64722,-0.829895,0.334007,-0.174674,-0.763239,0.891008,-0.942381,-0.094187,3.897588,3.272327,4.7939,1.119375,-2.951346,-0.016096,-0.405701,-0.620099,-0.113382,0.288096,1.321688,1.65145,-0.971412,-2.707258,-1.740493,-0.364304,1.281042,0.722423,0.006353,yes
-25.46523,-15.45277,-11.8535,-14.01534,-20.64037,-16.25068,7.67635,16.9058,16.48936,16.06712,-0.447296,-1.467695,26.58772,-0.832391,-0.40081,0.714832,-0.245111,0.02553,-0.417958,-2.348048,-2.310737,-1.027372,1.78694,2.508516,-0.515333,-0.007238,0.402745,-0.071178,-0.010026,0.35713,1.098694,1.506347,-1.546336,-3.642822,-2.740785,-2.402046,-0.026879,1.119338,0.015115,yes
-24.12382,-12.63559,-15.39164,-18.85588,-16.15901,-12.73999,-6.788508,5.924603,0.510129,3.113188,-1.090549,-10.11335,26.59985,-0.166836,-1.065976,0.329113,0.981541,0.512737,1.592642,-2.800768,-6.91505,-2.692539,1.365764,4.146223,-0.121368,0.02415,0.667015,0.16523,0.023392,0.611723,0.4192,0.589357,-0.480139,-1.479893,-1.324761,-2.260174,-0.781462,1.24912,0.016209,yes
-22.41762,-13.7386,-11.17288,-13.73891,-20.27662,-15.53603,-7.959287,-5.91725,-2.008878,2.879288,-2.836545,-4.339952,26.66391,1.599437,0.617594,0.160816,0.853375,2.354912,2.630003,-3.37468,-5.966057,-4.718488,-3.899867,-0.346132,0.809125,0.04877,0.399562,0.593419,-0.162557,0.020955,0.211166,-0.256354,0.100749,1.090896,0.034641,-1.738488,-1.362224,0.544711,0.006707,yes
