@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data
-6.559063,-6.706415,-19.00581,-20.54598,-15.55175,-3.272645,-2.092436,10.87515,13.04749,-0.070494,1.398029,-5.7605,19.80696,2.165803,-5.401325,0.024911,0.295758,-2.434579,4.302083,-8.405691,-0.443502,0.577191,-4.202542,-0.718392,2.003004,0.5365,-0.67626,-3.209862,-0.038252,-2.557864,-1.42167,-1.500865,-3.051221,0.269946,-0.574907,-0.372801,0.687986,2.209595,0.536164,dog
2.680651,-21.54756,-23.47762,-24.66098,-19.79296,-0.816158,-22.46874,0.718382,9.204484,-4.051563,-2.880337,-6.160972,21.36099,-0.070831,-9.225275,0.340799,-2.474491,-4.144444,-3.147265,-10.31162,1.001763,1.774488,-3.725967,2.864367,4.120923,1.113799,-1.69053,-0.78122,0.737924,-1.555489,-0.522595,-1.692834,1.170526,-0.044187,0.532421,0.995298,1.432018,1.499505,0.284359,dog
-1.847499,-43.1074,-15.97824,-35.70267,-31.76922,-2.892813,-46.39685,1.822612,11.92436,5.698033,13.39696,13.55615,22.83682,-2.267815,-9.017025,1.808925,-3.690291,-6.025803,-4.687976,-4.174788,-0.015609,2.610115,-2.020381,3.151832,5.057286,1.187939,-1.489226,2.298423,-0.283714,0.074315,1.52465,-0.437946,4.876146,-0.308532,0.465514,1.003914,0.104092,-0.600676,-0.011818,dog
-8.767238,-43.57313,-16.28669,-34.85255,-38.14046,-21.46074,-33.90811,13.28396,23.8113,-10.05381,13.54877,11.2429,23.79406,-4.429874,-2.162267,1.266601,-1.278748,-1.892945,-1.588226,5.241425,-0.756259,3.897537,-2.047245,2.646923,3.233477,0.899026,-0.498664,3.331422,-0.936536,1.393204,3.245949,1.781561,4.222003,-0.217079,-0.257494,2.754585,-0.139355,-1.542204,-0.215446,dog
-12.17419,-40.77875,-13.55666,-33.90165,-36.50701,-16.39024,-17.24669,4.514313,18.79466,-7.171276,8.942636,10.824,24.53012,-3.100804,2.559285,-1.856561,0.069464,4.062921,1.332834,8.198517,-1.107153,1.843234,-0.022334,-0.089213,-0.556652,0.584795,0.278078,2.064154,-1.472378,1.829897,3.461236,1.766568,1.059437,1.096153,-0.457263,3.529036,0.776212,-2.284552,-0.264585,dog
-14.30537,-33.52321,-18.35541,-31.95523,-26.88879,-2.008577,-10.8367,-4.408762,25.25702,-7.853134,12.58144,11.37249,25.00947,-2.147655,1.643683,-2.509136,2.611655,7.040936,2.750137,4.611744,0.462138,0.870457,9.047934,3.788113,-0.783126,0.338142,0.674384,-0.151409,-0.758532,1.463509,1.65081,0.242962,-1.504994,1.182722,-0.475521,2.986362,1.44637,-2.667276,-0.211682,dog
-14.58245,-35.33593,-24.22669,-36.80401,-17.08045,-5.954721,-16.93997,5.133211,20.41767,4.486022,13.43456,10.7081,25.1531,-2.018532,-0.599231,-3.665095,3.513995,6.813441,1.975684,1.437239,4.855958,1.837342,10.07721,6.462298,-4.357171,0.145457,0.199753,-1.090168,0.026099,0.48028,-0.573177,-0.771014,-1.3804,-0.50962,0.564645,0.91428,1.536612,-2.115085,-0.135523,dog
-18.30139,-38.07613,-23.49735,-20.34309,-12.64907,-12.92781,-11.00275,15.2852,27.35208,29.35721,30.24337,7.385218,25.17328,-1.599088,-1.340055,-1.621792,4.316533,4.985847,-0.694844,1.097096,2.175795,1.52288,7.834795,6.603016,-8.202642,0.060285,0.197639,-0.217487,0.462871,-1.011102,-1.540437,-0.568499,-0.339494,-2.818775,0.336305,-2.123302,-0.17639,-0.568752,-0.066883,dog
-20.26885,-41.49845,-29.31116,-22.13774,-9.559669,-1.052198,-9.977474,18.94712,26.93384,24.60959,32.42316,-8.968222,25.1755,-2.376325,-1.399684,-2.169737,1.618425,2.224581,-0.799744,3.053839,-4.51208,4.340246,5.155633,6.186395,-7.422319,0.04611,0.405282,0.66107,0.741774,-2.242118,-1.814343,0.047522,-0.573881,-3.755198,-0.94544,-2.713638,-1.233516,2.817868,-0.024566,dog
-19.45761,-37.14223,-23.92214,-17.7057,-5.719944,-7.934057,-8.832467,-0.436745,29.61334,21.25906,36.10222,-19.80256,25.29969,-0.980563,0.956474,-0.94246,-1.496072,1.633178,1.295357,2.105975,-8.94772,1.30053,0.892211,3.044116,-2.094313,0.053399,0.925305,0.986892,0.551276,-2.755566,-1.705608,0.798549,-1.867246,-1.455157,-2.356433,-2.89976,-2.372432,5.590892,-0.028609,dog
