@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data

-52.32568,-23.13973,-10.49381,-8.614643,-2.495141,-2.105357,9.834225,34.21371,39.76726,-2.51897,-49.25861,-55.09826,20.5173,-1.709703,-2.433313,-2.725878,-1.024394,-1.383283,3.397759,-1.224522,6.779618,-1.100225,-0.875766,1.193593,1.158312,0.073884,0.02192,-0.278838,0.231319,-0.039578,0.07598,-0.221248,0.030821,0.368754,-1.013194,-1.473849,0.724899,1.606656,0.048014,cat
-49.22716,-19.9574,-11.77738,-5.690356,0.686396,-2.16707,8.282661,37.11814,29.56276,-8.221526,-42.98206,-50.16183,20.61016,-0.932313,-2.862588,-0.574522,-1.621871,-1.99372,2.33636,-1.327183,4.716285,-3.236678,-4.115956,1.955895,4.551637,0.126335,0.39349,0.143887,1.529091,-0.164903,0.350387,-0.591465,0.24575,-1.747219,0.147246,-1.351924,-0.260919,1.255969,0.05379,cat
-53.83774,-29.25439,-15.99559,-10.60266,-6.348843,4.574564,7.918328,47.4118,34.72242,-5.16905,-40.78178,-48.22635,20.71411,0.232622,-1.937638,2.701816,-1.586482,-0.67015,1.112163,-0.386711,0.527428,-2.453674,-5.652685,0.717726,6.124878,0.189126,0.900578,1.02193,1.997698,0.213851,0.768611,-0.792226,0.23673,-3.205756,1.039455,-0.872361,-0.618997,0.619802,0.053283,cat
-53.47993,-32.83199,-7.338307,-16.1517,-8.059873,2.170302,6.388217,42.26682,25.79743,-20.18922,-44.43011,-36.41423,20.97503,0.848776,-0.485662,4.510022,-1.455334,0.348594,0.642342,-0.608798,-2.87361,0.651559,-5.320572,-0.897504,4.769179,0.249941,0.747533,1.170464,0.825382,0.712104,0.671833,-0.470461,0.113103,-2.517829,2.044223,0.666031,-0.30611,-0.885908,0.030775,cat
-49.03618,-26.39063,0.795733,-11.31638,-1.472755,1.28677,8.847894,34.27652,29.38156,-24.79855,-44.94595,-31.34767,21.2805,1.90264,1.487876,4.72034,-0.038408,1.288616,0.283637,-0.400065,-5.454213,2.152931,-4.635264,-0.474693,4.148552,0.278497,0.350349,0.49568,-0.559315,0.960035,-0.245598,-0.17756,-0.13502,-0.87582,1.788844,1.536256,0.388458,-1.869001,-0.006201,cat
-47.38406,-23.8176,2.377063,-12.61017,-0.008679,2.688535,4.77389,29.31773,35.49099,-25.00964,-45.38749,-34.75528,21.57668,1.970345,1.276976,2.543127,1.164612,0.386061,0.398319,-0.754989,-4.882041,4.681132,-1.29451,1.021555,1.110261,0.235527,-0.248237,-0.607766,-1.481265,0.781576,-1.26145,0.033766,-0.006822,0.416181,1.194144,1.791358,0.397267,-2.162432,-0.04247,cat
-47.37248,-26.32221,2.748426,-12.56547,-3.931361,5.733634,6.725169,26.61528,40.64029,-25.93516,-42.67656,-28.31307,21.80578,1.423582,-0.340558,0.888688,1.903718,-1.916875,0.346374,-0.988714,-2.847455,4.47576,0.015562,1.700488,-1.390669,0.165331,-0.719622,-1.241933,-1.646193,0.47582,-1.654842,0.391792,0.271184,0.694599,0.975133,1.519783,-0.573395,-2.158967,-0.059242,cat
-44.46006,-26.48131,4.400981,-9.704097,-4.900264,1.938464,3.674636,21.68723,43.57372,-26.09346,-40.45704,-32.38023,21.89003,-0.152882,-2.610273,-0.980479,1.481483,-4.355912,0.779805,-0.348584,-2.096082,5.460863,1.310807,0.001241,-3.273371,0.094174,-0.521278,-0.798447,-1.061309,0.376674,-1.370088,0.85001,0.540976,0.074761,0.263566,0.520348,-0.811889,-1.087627,-0.049058,cat
-43.38027,-26.76156,4.227216,-3.250828,-8.61134,3.393675,4.453948,23.85449,47.71899,-24.17882,-38.90874,-39.48854,21.95047,-0.633855,-2.778165,-1.748821,2.182257,-4.614609,2.051854,0.752654,-3.374195,6.638733,1.660992,-2.831511,-4.454467,0.052963,0.073096,0.159719,-0.198309,0.201681,-0.322135,0.778494,0.463516,-0.538575,-0.680826,-0.056397,-0.049861,-0.10092,-0.026515,cat
-50.14458,-36.64929,-3.264724,-9.860072,-19.44825,7.757537,4.166581,20.21771,59.25595,-19.33377,-47.26519,-45.5344,21.97519,0.392673,-1.496457,-1.444664,2.908711,-5.115511,3.795627,1.079208,-4.244866,4.917475,0.484516,-0.771891,-2.795974,0.046422,0.521513,0.945693,0.800926,-0.077413,1.142009,0.00061,0.36773,0.196377,-1.862398,-0.26426,1.065311,0.053752,-0.004464,cat
